Name,Type,Address,Suburb,Postcode,State,LHN,Geographical LHN,Governing Body,latitude,longitude
DASSA - Southern Services,Drug and Alcohol Services South Australia,SALHN,1/209 Main South Rd,Morphett Vale,SA,Southern Adelaide Local Health Network,SALHN,DASSA,-35.11847014,138.5221585
SAPHARM - Flinders Medical Centre,SA Pharmacy,Flinders Drive,Bedford Park,5042,SA,Southern Adelaide Local Health Network,SALHN,SCSS,-35.02265986,138.5690942
SAPHARM - Gawler Health Service,SA Pharmacy,21 Hutchinson Road,Gawler East,5118,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SCSS,-34.59325843,138.7551595
SAPHARM - Glenside Health Campus (Inpatient Rehab Services Building,SA Pharmacy,2 Karrayarta Drive,Glenside,5065,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.94508366,138.6293341
SAPHARM - Hampstead Rehabilitation Centre (HRC),SA Pharmacy,205-207 Hampstead Road,Lightsview,5085,SA,Northern Adelaide Local Health Network,NALHN,SCSS,-34.86124353,138.6201593
SAPHARM - Lyell McEwin Hospital,SA Pharmacy,120-130 Haydown Road,Elizabeth Vale,5112,SA,Northern Adelaide Local Health Network,NALHN,SCSS,-34.74743454,138.6645564
SAPHARM - Modbury Hospital,SA Pharmacy,Smart Road,Modbury,5092,SA,Northern Adelaide Local Health Network,NALHN,SCSS,-34.83400927,138.6904499
SAPHARM - Mount Barker District Soilder's Memorial Hospital,SA Pharmacy,87 Wellington Road,Mount Barker,5251,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SCSS,-35.08206357,138.8700541
SAPHARM - Mount Gambier Hospital,SA Pharmacy,276-300 Wehl Street North,Mount Gambier,5290,SA,Limestone Coast Local Health Network,LCLHN,SCSS,-37.80547184,140.7864909
SAPHARM - Murray Bridge Soldiers' Memorial Hospital,SA Pharmacy,96 Swanport Road,Murray Bridge,5253,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SCSS,-35.12897204,139.2805398
SAPHARM - Noarlunga Hospital,SA Pharmacy,Alexander Kelly Drive,Noarlunga,5168,SA,Southern Adelaide Local Health Network,SALHN,SCSS,-35.13984897,138.50013
SAPHARM - Port Augusta Hospital,SA Pharmacy,71 Hospital Road,Port Augusta,5700,SA,Flinders and Upper North Local Health Network,FUNLHN,SCSS,-32.51014738,137.7755991
SAPHARM - Port Lincoln Hospital,SA Pharmacy,39 Oxford Terrace,Port Lincoln,5606,SA,Eyre and Far North Local Health Network,EFNLHN,SCSS,-34.72411464,135.8502118
SAPHARM - Port Pirie Regional Health Service,SA Pharmacy,Alexander Street,Port Pirie,5540,SA,Yorke and Northern Local Health Network,YNLHN,SCSS,-33.17761327,138.0047544
SAPHARM - Repat Health Precinct Pharmacy,SA Pharmacy,216 Daws Road,Daw Park,5041,SA,Southern Adelaide Local Health Network,SALHN,SCSS,-34.99050271,138.587978
SAPHARM - Riverland General Hospital (Berri),SA Pharmacy,10 Maddern Street,Berri,5343,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SCSS,-34.27596158,140.6010172
SAPHARM - Royal Adelaide Hospital (RAH),SA Pharmacy,Port Road,Adelaide,5000,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.92111586,138.5875799
SAPHARM - Victor Harbor Hospital (Southern Fleurieu Health Service),SA Pharmacy,Harbour View Terrace,Victor Harbor,5211,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SCSS,-35.56132354,138.6067946
SAPHARM - The Queen Elizabeth Hospital (TQEH),SA Pharmacy,28 Woodville Road,Woodville South,5011,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.88390752,138.5329495
SAPHARM - Whyalla Hospital,SA Pharmacy,20 Wood Terrace,Whyalla,5600,SA,Flinders and Upper North Local Health Network,FUNLHN,SCSS,-33.03421634,137.5771118
SAPHARM - Women's and Children's Hospital,SA Pharmacy,72 King William Road,North Adelaide,5006,SA,Women's & Children's Health Network,WCHN,SCSS,-34.9119398,138.600183
Crystal Brook and District Hospital,Hospital,Edmund Terrace,Crystal Brook,5523,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-33.3542188,138.2131409
Quorn Health Service,Hospital,Hospital Road,Quorn,5433,SA,Flinders and Upper North Local Health Network,FUNLHN,FUNLHN,-32.35095807,138.0383523
Elliston Hospital,Hospital,4-6 Memorial Drive,Elliston,5670,SA,Eyre and Far North Local Health Network,EFNLHN,EFNLHN,-33.64792035,134.8923437
Eudunda Hospital,Hospital,40 Ward Street,Eudunda,5374,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,BHFLHN,-34.17549087,139.0905369
Orroroo and District Health Service,Hospital,Pekina Road,Orroroo,5431,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-32.73841787,138.6072674
Kangaroo Island Health Service,Hospital,3 The Esplanade,Kingscote,5223,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,BHFLHN,-35.65278173,137.6413758
Meningie and Districts Memorial Hospital and Health Services,Hospital,2 South Terrace,Meningie,5264,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,RMCLHN,-35.69321694,139.3356928
Millicent and Districts Hospital and Health Service,Hospital,33 Mount Gambier Road,Millicent,5280,SA,Limestone Coast Local Health Network,LCLHN,LCLHN,-37.59832828,140.3590534
Mount Gambier and Districts Health Service,Hospital,276-300 Wehl Street North,Mount Gambier,5290,SA,Limestone Coast Local Health Network,LCLHN,LCLHN,-37.80534193,140.786678
Mount Pleasant District Hospital,Hospital,28 Hospital Road,Mount Pleasant,5235,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,BHFLHN,-34.773857,139.0546381
Ceduna District Health Service,Hospital,3 Eyre Highway,Ceduna,5690,SA,Eyre and Far North Local Health Network,EFNLHN,EFNLHN,-32.11905972,133.6721315
Coober Pedy Hospital and Health Service,Hospital,Lot 89 Hospital Road,Coober Pedy,5723,SA,Eyre and Far North Local Health Network,EFNLHN,EFNLHN,-29.00485562,134.7621714
Snowtown Hospital and Health Service,Hospital,South Terrace,Snowtown,5520,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-33.78690037,138.2127269
Streaky Bay Hospital,Hospital,1 Flinders Drive,Streaky Bay,5680,SA,Eyre and Far North Local Health Network,EFNLHN,EFNLHN,-32.79281704,134.217526
Naracoorte Health Service,Hospital,101 Jenkins Terrace,Naracoorte,5271,SA,Limestone Coast Local Health Network,LCLHN,LCLHN,-36.96676765,140.7438933
Hawker Memorial Hospital,Hospital,9 Druid Range Drive,Hawker,5434,SA,Flinders and Upper North Local Health Network,FUNLHN,FUNLHN,-31.89334248,138.4279133
Whyalla Hospital and Health Services,Hospital,20 Wood Terrace,Whyalla,5600,SA,Flinders and Upper North Local Health Network,FUNLHN,FUNLHN,-33.03358831,137.5777127
Tailem Bend District Hospital,Hospital,74 Princes Highway,Tailem Bend,5260,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,RMCLHN,-35.25484025,139.4525965
Tumby Bay Hospital and Health Services,Hospital,8-11 Esplanade,Tumby Bay,5605,SA,Eyre and Far North Local Health Network,EFNLHN,EFNLHN,-34.37224191,136.1040525
Strathalbyn and District Health Service,Hospital,14 Alfred Place,Strathalbyn,5255,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,BHFLHN,-35.25774026,138.8936328
Mount Barker District Soldiers' Memorial Hospital,Hospital,87 Wellington Road,Mount Barker,5251,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,BHFLHN,-35.08207736,138.8702688
Murray Bridge Soldiers' Memorial Hospital,Hospital,96 Swanport Road,Murray Bridge,5253,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,RMCLHN,-35.12877634,139.2804234
Victor Harbor Hospital (Southern Fleurieu Health Service),Hospital,Harbour View Terrace,Victor Harbor,5211,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,BHFLHN,-35.56121654,138.6068661
Riverland General Hospital,Hospital,10 Maddern Street,Berri,5343,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,RMCLHN,-34.27625633,140.6014466
Tanunda War Memorial Hospital,Hospital,15 Mill Street,Tanunda,5352,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,BHFLHN,-34.527989,138.9609245
Riverton District Soldiers' Memorial Hospital,Hospital,23 Moorhouse Terrace,Riverton,5412,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-34.16034914,138.7423955
Jamestown Hospital and Health Service,Hospital,43 South Terrace,Jamestown,5491,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-33.21227088,138.6162647
Kapunda Hospital,Hospital,26 Nash Street,Kapunda,5373,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,BHFLHN,-34.33042034,138.9216154
Karoonda and District Soldiers' Memorial Hospital,Hospital,13 Stokes Road,Karoonda,5307,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,RMCLHN,-35.09418662,139.8894966
Kimba District Hospital and Aged Care,Hospital,15 Martin Terrace,Kimba,5641,SA,Eyre and Far North Local Health Network,EFNLHN,EFNLHN,-33.14345054,136.4160404
Kingston Soldiers' Memorial Hospital,Hospital,Cnr Cooke and Young Street,Kingston SE,5275,SA,Limestone Coast Local Health Network,LCLHN,LCLHN,-36.83518584,139.8485723
Lameroo District Health Service,Hospital,1A Vardon Terrace,Lameroo,5302,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,RMCLHN,-35.32819758,140.5145836
Laura and District Hospital,Hospital,33 Mill Street,Laura,5480,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-33.17503808,138.2986069
Peterborough Soldiers' Memorial Hospital,Hospital,23 Hurlstone Street,Peterborough,5422,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-32.98077241,138.830363
Barmera Health Service,Hospital,Hawdon Street,Barmera,5345,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,RMCLHN,-34.24924179,140.4718524
Loxton Hospital Complex,Hospital,41 Drabsch Street,Loxton,5333,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,RMCLHN,-34.45448413,140.5642366
Renmark Paringa District Hospital,Hospital,Ral Ral Avenue,Renmark,5341,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,RMCLHN,-34.1645446,140.7448324
Burra Hospital,Hospital,46 Commercial Street,Burra,5417,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-33.68542237,138.934347
Clare Hospital,Hospital,47 Farrel Flat Road,Clare,5453,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-33.82958161,138.6144959
Cleve District Hospital and Aged Care,Hospital,North Terrace,Cleve,5640,SA,Eyre and Far North Local Health Network,EFNLHN,EFNLHN,-33.69790384,136.494253
Cummins and District Memorial Hospital,Hospital,19-21 Tumby Bay Road,Cummins,5631,SA,Eyre and Far North Local Health Network,EFNLHN,EFNLHN,-34.26419117,135.732922
Waikerie Health Service,Hospital,1 Lawrie Terrace,Waikerie,5330,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,RMCLHN,-34.18255948,139.9853567
Northern Yorke Peninsula Health Service (Wallaroo),Hospital,1 Ernest Terrace,Wallaroo,5556,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-33.92730585,137.636895
Wudinna Hospital,Hospital,16-24 Richards Avenue,Wudinna,5652,SA,Eyre and Far North Local Health Network,EFNLHN,EFNLHN,-33.05021784,135.4670727
Southern Yorke Peninsula Health Service (Yorketown),Hospital,19 Waterloo Bay Road,Yorketown,5576,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-35.0210697,137.6050618
Balaklava Soldiers' Memorial District Hospital,Hospital,16 War Memorial Drive,Balaklava,5461,SA,Yorke and Northern Local Health Network,YNLHN,YNLHN,-34.13965329,138.4201934
Gumeracha District Soldiers' Memorial Hospital,Hospital,2 Albert Street,Gumeracha,5233,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,BHFLHN,-34.82630839,138.8817737
Gawler Health Service,Hospital,21 Hutchinson Road,Gawler East,5118,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,BHFLHN,-34.59344267,138.7552282
Bordertown Memorial Hospital,Hospital,23 South Terrace,Bordertown,5268,SA,Limestone Coast Local Health Network,LCLHN,LCLHN,-36.31205166,140.7665544
Port Augusta Hospital and Regional Health Services,Hospital,71 Hospital Road,Port Augusta,5700,SA,Flinders and Upper North Local Health Network,FUNLHN,FUNLHN,-32.51032649,137.7757122
Penola War Memorial Hospital,Hospital,18 Church Street,Penola,5277,SA,Limestone Coast Local Health Network,LCLHN,LCLHN,-37.3827006,140.8364903
James Nash House,Hospital,140 Hilltop Drive,Oakden,5086,SA,Northern Adelaide Local Health Network,NALHN,NALHN,-34.84962908,138.6382592
The Repat Precinct,Hospital,216 Daws Road,Daw Park,5041,SA,Southern Adelaide Local Health Network,SALHN,SALHN,-34.99031206,138.5879754
SAAS - PORT ADELAIDE STATION,SA Ambulance,3-5 SANTO PDE,PORT ADELAIDE,5015,SA,Central Adelaide Local Health Network,CALHN,SAAS,-34.843073,138.511529
SAAS - PORT AUGUSTA STATION,SA Ambulance,6 GILES STREET,PORT AUGUSTA,5700,SA,Flinders and Upper North Local Health Network,FUNLHN,SAAS,-32.509242,137.777111
SAAS - PORT BROUGHTON STATION,SA Ambulance,BAY STREET,PORT BROUGHTON,5522,SA,Yorke and Northern Local Health Network,YNLHN,SAAS,-33.601133,137.934676
SAAS - PORT LINCOLN STATION,SA Ambulance,4 MARINE AVENUE,PORT LINCOLN,5606,SA,Eyre and Far North Local Health Network,EFNLHN,SAAS,-34.724833,135.850637
SAAS - PORT NEILL STATION,SA Ambulance,BICE STREET,PORT NEILL,5604,SA,Eyre and Far North Local Health Network,EFNLHN,SAAS,-34.119489,136.349029
SAAS - PORT PIRIE STATION,SA Ambulance,97 GREY TERRACE,PORT PIRIE SOUTH,5540,SA,Yorke and Northern Local Health Network,YNLHN,SAAS,-33.189924,138.005897
SAAS - PORT WAKEFIELD STATION,SA Ambulance,2 BURRA STREET,PORT WAKEFIELD,5550,SA,Yorke and Northern Local Health Network,YNLHN,SAAS,-34.186304,138.153178
SAAS - PROSPECT STATION,SA Ambulance,478-480 REGENCY ROAD,PROSPECT,5082,SA,Central Adelaide Local Health Network,CALHN,SAAS,-34.8735,138.600431
SAAS - QUORN STATION,SA Ambulance,LOT 501 WEST TERRACE,QUORN,5433,SA,Flinders and Upper North Local Health Network,FUNLHN,SAAS,-32.351506,138.037861
SAAS - REDWOOD PARK STATION,SA Ambulance,LOT 540 GAYLARD CRES,REDWOOD PARK,5097,SA,Northern Adelaide Local Health Network,NALHN,SAAS,-34.816977,138.69526
SAAS - RENMARK STATION,SA Ambulance,LOT 567 EIGHTEENTH STREET,RENMARK,5341,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SAAS,-34.174337,140.744994
SAAS - MOUNT GAMBIER STATION,SA Ambulance,46 PENOLA ROAD,MOUNT GAMBIER,5290,SA,Limestone Coast Local Health Network,LCLHN,SAAS,-37.824895,140.782817
SAAS - MOUNT PLEASANT STATION,SA Ambulance,HOSPITAL ROAD,MOUNT PLEASANT,5235,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SAAS,-34.773066,139.05413
SAAS - NANGWARRY STATION,SA Ambulance,LOT 304 BEDNALL DRIVE,NANGWARRY,5277,SA,Limestone Coast Local Health Network,LCLHN,SAAS,-37.542624,140.814199
SAAS - NARACOORTE STATION,SA Ambulance,BUTLER TERRACE,NARACOORTE,5271,SA,Limestone Coast Local Health Network,LCLHN,SAAS,-36.964619,140.744479
SAAS - CAMPBELLTOWN STATION,SA Ambulance,MONTACUTE ROAD,NEWTON,5074,SA,Central Adelaide Local Health Network,CALHN,SAAS,-34.888191,138.676776
SAAS - RIVERTON STATION,SA Ambulance,16 TORRENS ROAD,RIVERTON,5412,SA,Yorke and Northern Local Health Network,YNLHN,SAAS,-34.156881,138.748257
SAAS - ROBE STATION,SA Ambulance,LOT 1 O'HALLORAN STREET,ROBE,5276,SA,Limestone Coast Local Health Network,LCLHN,SAAS,-37.165396,139.751497
SAAS - ROXBY DOWNS STATION,SA Ambulance,16-28 BURGOYNE STREET,ROXBY DOWNS,5725,SA,Flinders and Upper North Local Health Network,FUNLHN,SAAS,-30.562737,136.89392
SAAS - SALISBURY STATION (CLINICAL EDUCATION),SA Ambulance,1-3 BREMEN DRIVE,SALISBURY SOUTH,5106,SA,Northern Adelaide Local Health Network,NALHN,SAAS,-34.783755,138.637493
SAAS - SNOWTOWN STATION,SA Ambulance,3-5 ADELAIDE ROAD,SNOWTOWN,5520,SA,Yorke and Northern Local Health Network,YNLHN,SAAS,-33.788022,138.210936
SAAS - STRATHALBYN STATION,SA Ambulance,3 RANKINE STREET,STRATHALBYN,5255,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SAAS,-35.259809,138.893083
SAAS - STREAKY BAY STATION,SA Ambulance,1 FLINDERS DRIVE,STREAKY BAY,5680,SA,Eyre and Far North Local Health Network,EFNLHN,SAAS,-32.792973,134.217697
SAAS - SWAN REACH STATION,SA Ambulance,NILDOTTIE ROAD,SWAN REACH,5354,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SAAS,-34.570718,139.598698
SAAS - YORKETOWN STATION,SA Ambulance,7 WEANERS STREET,YORKETOWN,5576,SA,Yorke and Northern Local Health Network,YNLHN,SAAS,-35.021213,137.606596
SAAS - YUNTA STATION,SA Ambulance,LOT 3 RAILWAY TERRACE,YUNTA,5440,SA,Yorke and Northern Local Health Network,YNLHN,SAAS,-32.581592,139.561251
SAAS - BURRA STATION,SA Ambulance,MARKET SQ,BURRA,5417,SA,Yorke and Northern Local Health Network,YNLHN,SAAS,-33.673347,138.930168
SAAS - MORGAN STATION,SA Ambulance,FIRST STREET,MORGAN,5320,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SAAS,-34.032994,139.670403
SAAS - MURRAY BRIDGE STATION,SA Ambulance,DARLING AVENUE,MURRAY BRIDGE,5253,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SAAS,-35.144099,139.285585
SAAS - VICTOR HARBOR STATION,SA Ambulance,45-47 TORRENS STREET,VICTOR HARBOR,5211,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SAAS,-35.554943,138.619881
SAAS - WAIKERIE STATION,SA Ambulance,LOT 480 DOWLING STREET,WAIKERIE,5330,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SAAS,-34.182303,139.986921
SAAS - WALLAROO STATION,SA Ambulance,LOT 20 ERNEST TERRACE,WALLAROO,5556,SA,Yorke and Northern Local Health Network,YNLHN,SAAS,-33.929037,137.636314
SAAS - WAROOKA STATION,SA Ambulance,36 MAIN STREET,WAROOKA,5577,SA,Yorke and Northern Local Health Network,YNLHN,SAAS,-34.990493,137.401778
SAAS - WHYALLA STATION,SA Ambulance,LOT 104 ST JOHN CRES,WHYALLA PLAYFORD,5600,SA,Flinders and Upper North Local Health Network,FUNLHN,SAAS,-33.028661,137.552665
SAAS - WOODSIDE STATION,SA Ambulance,24 ONKAPARINGA VALL ROAD,WOODSIDE,5244,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SAAS,-34.953545,138.875872
SAAS - WUDINNA STATION,SA Ambulance,LOT 29 RICHARDS AVENUE,WUDINNA,5652,SA,Eyre and Far North Local Health Network,EFNLHN,SAAS,-33.050307,135.465128
SAAS - YANKALILLA STATION,SA Ambulance,81 MAIN STREET,YANKALILLA,5203,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SAAS,-35.458381,138.351519
"SAAS - SAAS - Rescue, Retrieval and Aviation Services Base",SA Ambulance,"ADELAIDE AIRPORT, 2 SIR REGINALD ANSETT DRIVE",ADELAIDE AIRPORT,5950,SA,Central Adelaide Local Health Network,CALHN,SAAS,-34.9469867,138.5212966
SAAS - SALT CREEK,SA Ambulance,11097 PRINCES HIGHWAY,SALT CREEK,5264,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SAAS,-36.1274143,139.6500158
SAAS - SEAFORD STATION,SA Ambulance,80 SEAFORD ROAD,SEAFORD,5169,SA,Southern Adelaide Local Health Network,SALHN,SAAS,-35.1810754,138.4781708
SAAS - GEPPS CROSS STATION,SA Ambulance,7 SCANIA COURT,GEPPS CROSS,5094,SA,Northern Adelaide Local Health Network,NALHN,SAAS,-34.8444235,138.593479
SAAS - EDWARDSTOWN - STATION,SA Ambulance,220 DAWS ROAD,EDWARDSTOWN,5041,SA,Southern Adelaide Local Health Network,SALHN,SAAS,-34.991639,138.5910151
SAAS - PORT MACDONNELL - STATION,SA Ambulance,MEYLIN STREET,PORT MACDONNELL,5291,SA,Limestone Coast Local Health Network,LCLHN,SAAS,-38.0530889,140.6996545
SAAS - PORT KENNY - STATION,SA Ambulance,LITTLE STREET,PORT KENNY,5671,SA,Eyre and Far North Local Health Network,EFNLHN,SAAS,-33.1656953,134.6835453
SAAS - PARAFIELD STATION,SA Ambulance,1A LOCKHEED LANE,PARAFIELD,5160,SA,Northern Adelaide Local Health Network,NALHN,SAAS,-34.787491,138.6383122
SAAS - OAKDEN STATION,SA Ambulance,285 FOSTERS ROAD,OAKDEN,5086,SA,Northern Adelaide Local Health Network,NALHN,SAAS,-34.8510693,138.6358532
SAAS - GLENGOWRIE,SA Ambulance,88A MORPHETT ROAD,GLENGOWRIE,5044,SA,Southern Adelaide Local Health Network,SALHN,SAAS,-34.9804943,138.5376453
SAAS - BIRDWOOD,SA Ambulance,CORNER TORRENS VALLEY ROAD & BLUMEL ROAD,BIRDWOOD,5234,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SAAS,-34.820389,138.9526356
SAAS - BEACHPORT STATION,SA Ambulance,GOLFCOURSE ROAD,BEACHPORT,5280,SA,Limestone Coast Local Health Network,LCLHN,SAAS,-37.4767386,140.0098549
SAAS - UPPER MURRAY MALLEE VOLUNTEER REGIONA RESPONSE TEAM,SA Ambulance,25 CORNWALL STREET,BERRI,5343,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SAAS,-34.2774349,140.602151
